config_a,config_b,chi2,p_value,significant
A,B,21.551724137931036,3.444129156648934e-06,Yes
A,C,1.6,0.2059032107320682,No
A,D,2.0,0.15729920705028488,No
A,E,7.0,0.008150971593502754,Yes
A,F,4.5,0.03389485352468924,Yes
A,G,7.0,0.008150971593502754,Yes
B,C,25.484848484848484,4.458707218990554e-07,Yes
B,D,27.0,2.0345546147826354e-07,Yes
B,E,32.0,1.5417257914762672e-08,Yes
B,F,31.0,2.5802843084399285e-08,Yes
B,G,32.0,1.5417257914762672e-08,Yes
C,D,0.5,0.47950012218695337,No
C,E,3.0,0.08326451666355039,No
C,F,2.0,0.15729920705028488,No
C,G,3.0,0.08326451666355039,No
D,E,5.0,0.02534731867746831,Yes
D,F,2.6666666666666665,0.10247043485974938,No
D,G,5.0,0.02534731867746831,Yes
E,F,1.0,0.31731050786291415,No
F,G,1.0,0.31731050786291415,No
